C0014550	myoclonic epilepsy
C0014549	tonic-clonic seizure disorder
C0014549	tonic-clonic seizure disorder
C0014549	tonic-clonic seizure syndrome
C0014549	tonic-clonic seizure syndrome
C0014549	tonic-clonic seizure syndrome
C0014549	tonic-clonic seizure syndromes
C0014553	absence epilepsy
C0014553	absence seizure disorder
C0014553	epilepsy, absence
C0014553	petit mal epilepsies
C0014553	petit mal epilepsy
C0014553	petit mal epilepsy
C0014553	petit-mal seizure
C0014556	focal epilepsy - temporal
C0014556	temporal lobe epilepsy
C0014556	temporal lobe seizure
C0014556	temporal lobe seizures
C0014556	temporal lobe onset seizure
C0014556	temporal lobe onset seizures
C0014557	epilepsy, post-traumatic
C0014557	epilepsy, traumatic
C0014557	post traumatic epilepsy
C0014557	post traumatic epilepsytraumatic
C0014557	post traumatic seizure dis
C0014557	post traumatic seizure disorder
C0014557	post-traumatic epilepsies
C0014557	post-traumatic seizure disorder
C0014557	seizure disorders, post-traumatic
C0014557	traumatic epilepsies
C0014557	traumatic epilepsies
C0016399	focal motor
C0016399	focal motor epilepsy
C0016399	focal motor seizure
C0016399	focal motor seizures
C0016399	motor partial seizure disorder
C0016399	motor seizure disorder
C0016399	partial motor attacks
C0016399	partial motor epilepsy
C0016399	partial motor epilepsy
C0016399	simple partial seizure with motor dysfunction
C0016399	simple partial seizures with motor signs
C0021712	myoclonus, intention
C0022333	Jacksonian seizure
C0027066	disorder characterised by myoclonus
C0027066	disorder characterized by myoclonus
C0027066	jerk, myoclonic
C0027066	jerking, myoclonic
C0027066	jerks - myoclonic
C0027066	jerks, myoclonic
C0027066	myoclonic disorder
C0027066	myoclonus disorder
C0027066	myoclonus nos
C0030214	myoclonus, palatal
C0030214	palatal nystagmus
C0030463	paramyoclonus multiplex
C0035372	Cerebroatrophic hyperammonaemia
C0035372	Cerebroatrophic hyperammonemia
C0035372	rett syndrome
C0036572	seizure
C0036572	seizures
C0037769	hypsarrhythmia
C0037769	infant spasms - hypsarrythmia
C0037769	infantile spasm
C0037769	infantile spasms - hypsarrhythmia
C0037769	infantile spasms - hypsarrythmia
C0037769	lightning attack
C0037769	lightning attacks
C0037769	lightning spasms
C0037769	spasms, infantile
C0037769	syndrome, west
C0037769	west syndrome
C0037769	West's syndrome
C0038220	generalized status epilepticus
C0038220	status epilepticus 
C0038220	status epilepticus, generalized
C0038220	status epilepticus, unspecified"
C0038505	sturge-weber syndrome
C0085417	complex partial epilepsy
C0085417	complex partial epileptic seizure
C0085417	complex partial seizure disorder
C0085417	epilepsy, complex partial
C0085417	partial epilepsy, complex
C0085541	Epilepsy, Frontal Lobe"
C0085541	Frontal Lobe Epilepsies
C0085541	frontal lobe epilepsy
C0085541	frontal lobe seizure
C0085541	frontal lobe seizures
C0085541	frontal lobe onset seizure
C0085541	frontal lobe onset seizures
C0085543	epilepsia partialis continua [kozhevnikof]
C0085543	epilepsies, kojevnikov's
C0085543	epilepsy, kojevnikov's
C0085543	epilepsy, kojewnikov's
C0085543	focal status epilepticus
C0085543	kojevnikov's epilepsies
C0085543	kojewnikov epilepsy
C0085543	kojewnikow syndrome
C0085543	kojewnikow's syndrome
C0085543	kozhevnikov syndrome
C0085543	kozhevnikov's syndrome
C0085543	motor simple partial status
C0086236	atonic epilepsies
C0086236	atonic epilepsy
C0086236	epilepsies, atonic
C0086236	epilepsy, atonic
C0086236	epileptic seizures - atonic
C0086236	epileptic seizures - atonic (finding)
C0086241	epilepsies, tonic
C0086241	epilepsy, tonic
C0086241	epileptic seizures - tonic
C0086241	epileptic seizures - tonic (finding)
C0086241	epileptic seizures, tonic
C0086241	tonic epilepsies
C0086241	tonic epilepsy
C0149958	Complex Partial Seizure
C0149958	Complex Partial Seizures
C0149958	Partial complex seizure
C0149958	Psychomotor fit
C0159020	convulsions in newborn
C0159020	convulsions in the newborn 
C0159020	convulsions neonatal
C0159020	convulsions of newborn
C0159020	fits in newborn
C0159020	fits in the newborn
C0159020	neonatal convulsions
C0159020	neonatal seizures
C0159020	seizures in newborn
C0159020	seizures in the newborn
C0162635	angelman syndrome
C0162635	Happy puppet syndrome
C0162672	fukuhara disease
C0162672	merff syndrome
C0162672	merrf - myoclonic epilepsy - ragged red fibers
C0162672	myoclonic epilepsy - ragged red fibres
C0162672	myoclonic epilepsy and ragged red fibers
C0162672	myoclonic epilepsy associated with ragged red fibers
C0162672	myoclonic epilepsy with ragged red fibers
C0162672	myoclonus with epilepsy and with ragged red fibers (merrf syndrome)
C0162672	myoclonus with epilepsy with ragged red fibers
C0162672	myoencephalopathy ragged red fiber disease
C0234166	hyperekplexia
C0234166	hyperekplexias
C0234166	hyperexplexia
C0234166	hyperexplexia (finding)
C0234166	startle syndrome
C0234533	generalised convulsion
C0234533	generalised fit
C0234533	generalised seizure
C0234533	generalized convulsion
C0234533	generalized convulsion, nos
C0234533	generalized fit
C0234533	generalized seizure (finding)
C0234533	Generalized-onset seizure
C0234533	seizure, generalized"
C0234974	epilepsy, partial, without impairment of consciousness
C0234974	partial epilepsy without impairment of consciousness
C0234974	partial epilepsy without mention of impairment of consciousness
C0234974	partial seizures, simple
C0234974	partial seizures, simple, consciousness preserved
C0234974	simple partial seizure
C0234974	simple partial seizure, consciousness not impaired
C0234974	simple partial seizures
C0234974	simple partial seizures with consciousness preserved
C0238111	lennox gastaut syndrome
C0238111	lennox gastaut syndromes
C0238111	lennox-gastat syndrome
C0238111	Lennox-Gastaut syndrome
C0264608	dysphonia of palatopharyngolaryngeal myoclonus
C0265482	ring chromosome 20
C0270819	cursive (running) epilepsy
C0270819	cursive reflex epilepsy - running
C0270819	cursive seizure
C0270819	epilepsies, cursive
C0270819	epilepsy, cursive reflex (running)
C0270819	epilepsy, running"
C0270819	reflex epilepsy, cursive (running)
C0270819	running epilepsy
C0270820	epilepsies, gelastic
C0270820	epilepsy, gelastic
C0270820	gelastic epilepsies
C0270820	gelastic seizure
C0270821	retropulsion absence
C0270821	retropulsion petit mal
C0270822	centrencephalic absence
C0270822	centrencephalic epilepsy
C0270823	absence status
C0270823	epilepsia minoris continua
C0270823	epileptic absence status
C0270823	epileptic confusional state
C0270823	non-convulsive status epilepticus wth impaired consciousness
C0270823	petit mal status epilepticus
C0270823	petit mal status, epileptic
C0270823	petit-mal status
C0270823	prolonged epileptic twilight state
C0270823	spike wave stupor
C0270823	status pyknolepticus
C0270823	status, absence
C0270823	status, petit mal
C0270824	epilepsy, visual
C0270824	seizure, visual
C0270824	visual epilepsy
C0270824	visual seizures
C0270824	visual seizures 
C0270825	epilepsy, visceral
C0270825	visceral epilepsy
C0270826	unclassified epileptic seizures
C0270830	Simple partial seizures with somatosensory or special sensory dysfunction
C0270834	complex focal seizures
C0270834	complex partial seizure with impairment of consciousness
C0270834	complex partial seizures with consciousness impaired
C0270837	automatism absence
C0270837	automatism petit mal
C0270837	complex partial seizure with automatisms
C0270837	complex partial seizures with automatisms
C0270837	epileptic automatism
C0270837	epileptic complex partial seizures with automatisms
C0270838	Secondarily generalised seizures
C0270838	secondary generalisation
C0270838	secondary generalised seizure
C0270838	secondary generalised seizures
C0270838	secondary generalization
C0270838	secondary generalized seizure
C0270838	secondary generalized seizures
C0270844	tonic seizure
C0270844	tonic seizures
C0270846	atonic seizure
C0270846	atonic seizures
C0270846	epileptic drop attack
C0270847	benign focal epilepsy of childhood
C0270847	childhood benign focal epilepsy
C0270847	childhood benign focal epilepsy
C0270849	extratemporal epilepsy
C0270850	generalised idiopathic epilepsy and epileptic syndromes
C0270850	generalized idiopathic epilepsy and epileptic syndromes nos
C0270850	idiopathic generalised epilepsy
C0270850	IGE
C0270850	ige
C0270850	primary generalised epilepsy
C0270850	primary generalized epilepsy
C0270851	benign neonatal convulsion
C0270851	benign neonatal convulsion
C0270851	benign neonatal seizures
C0270851	benign neonatal seizures [ambiguous]
C0270851	convulsions, benign neonatal
C0270851	epilepsy, benign neonatal
C0270851	neonatal convulsion, benign
C0270851	neonatal convulsions, benign
C0270851	neonatal epilepsies, benign
C0270851	neonatal epilepsy, benign
C0270853	adolescent myoclonic epilepsies
C0270853	adolescent myoclonic epilepsy
C0270853	epilepsies, adolescent myoclonic
C0270853	epilepsy, adolescent myoclonic
C0270853	epilepsy, juvenile myoclonic
C0270853	epilepsy, myoclonic, juvenile
C0270853	impulsive petit mal epilepsy
C0270853	impulsive petit mal of janz
C0270853	impulsive petit mal, janz
C0270853	impulsive petit-mal epilepsy
C0270853	janz impulsive petit mal
C0270853	janz juvenile myoclonic epilepsy
C0270853	JME
C0270853	JME - juvenile myoclonic epilepsy
C0270853	juvenile epilepsies, myoclonic
C0270853	juvenile epilepsy, myoclonic
C0270853	juvenile myoclonic epilepsies
C0270853	juvenile myoclonic epilepsy
C0270853	juvenile myoclonic epilepsy
C0270853	myoclonic epilepsies, adolescent
C0270853	myoclonic epilepsies, juvenile
C0270853	myoclonic juvenile epilepsies
C0270853	myoclonic juvenile epilepsy
C0270854	Symptomatic generalised epilepsy
C0270855	Early Myoclonic Encephalopathy
C0270855	myoclonic epilepsy, neonatal, with suppression-burst pattern
C0270855	Myoclonic Epilepsy, Neonatal, With Suppression-Burst Pattern
C0270855	symptomatic early myoclonic encephalopathy
C0270855	symptomatic early myoclonic encephalopathy
C0270857	epilepsies, reflex
C0270857	epilepsy associated with specific stimuli
C0270857	epilepsy, reflex
C0270857	epilepsy, sensory-induced
C0270857	reflex epilepsies
C0270857	sensory-induced epilepsy
C0278188	hallucination seizure
C0278188	partial seizure, visual
C0278188	partial seizures, visual
C0278188	seizure, visual partial
C0278188	visual partial seizures
C0278188	visual seizure
C0278188	visual seizure (finding)
C0278192	gustatory partial seizures
C0278192	gustatory seizure
C0278192	gustatory seizure (finding)
C0278192	partial seizure, gustatory
C0278192	partial seizures, gustatory
C0278192	seizure, gustatory partial
C0278193	reading epilepsy
C0278193	Reading seizure
C0278199	partial seizure with impaired consciousness
C0278199	partial seizure with impaired consciousness (finding)
C0278202	partial seizure with illusions and hallucinations
C0278202	partial seizure with illusions and hallucinations (finding)
C0278203	partial seizure with multiple symptoms
C0278203	partial seizure with multiple symptoms (finding)
C0282512	Landau-Kleffner syndrome
C0282512	Acquired aphasia with epilepsy
C0282512	Acquired epileptic aphasia
C0282512	Acquired aphasia with epilepsy
C0311334	epilepsies, generalized convulsive
C0311334	epilepsy, generalized convulsive
C0311334	generalised convulsive epilepsy
C0311334	generalised convulsive epilepsy nos
C0311334	generalised-onset seizures
C0311334	generalised-onset seizures
C0311334	generalized convulsive epilepsies
C0311334	generalized convulsive epilepsies
C0311334	generalized convulsive epilepsy
C0311334	generalized onset seizure disorder
C0311334	generalized seizure dis convulsive
C0338464	epilepsy co-occurrent and due to dementia
C0338464	epilepsy with dementia
C0338464	epileptic dementia
C0338479	Symptomatic Myoclonic Epilepsies
C0338479	Symptomatic Myoclonic Epilepsy
C0347869	akinetic epilepsies
C0347869	akinetic epilepsy
C0347869	epilepsies, akinetic
C0347869	epilepsy, akinetic
C0347869	epileptic seizures - akinetic
C0347869	epileptic seizures - akinetic (finding)
C0347869	seizures, akinetic
C0347870	epileptic seizures - clonic
C0347870	epileptic seizures - clonic (finding)
C0347870	epileptic seizures, clonic
C0347873	epilepsy, psychosensory
C0347873	psychosensory epilepsy
C0347874	epilepsy, somatosensory
C0347874	somatosensory epilepsy
C0376532	rolandic epilepsy
C0393482	focal encephalitis
C0393484	rasmussen syndrome
C0393484	Rasmussen encephalitis
C0393618	other specified myoclonus
C0393619	symptomatic myoclonus
C0393622	drug-induced myoclonus
C0393623	segmental cord myoclonus
C0393624	palatal-tympanic myoclonus
C0393625	hyoid myoclonus
C0393673	Benign atypical partial epilepsy in childhood
C0393675	BCEOP - benign childhood epilepsy with occipital paroxysms
C0393675	benign occipital epilepsy of childhood
C0393675	childhood benign occipital epilepsy
C0393675	childhood benign occipital epilepsy
C0393675	childhood epilepsy with occipital paroxysms
C0393676	panayiotopoulos syndrome
C0393676	Early-onset benign childhood occipital epilepsy
C0393676	Benign childhood occipital epilepsy Panayiotopoulos type
C0393690	Parietal lobe epilepsy
C0393690	parietal lobe epilepsy
C0393690	parietal lobe seizures
C0393690	parietal lobe onset seizures
C0393691	Lobe Epilepsy, Occipital
C0393691	occipital lobe epilepsiy
C0393691	Occipital lobe epilepsy
C0393691	occipital lobe seizure
C0393691	occipital lobe seizures
C0393691	occipital lobe onset seizures
C0393697	epilepsy with generalised tonic clonic seizures on awakening
C0393697	epilepsy with grand mal seizures on awakening
C0393702	doose syndrome
C0393702	dooze syndrome
C0393702	epilepsy with myoclonic and astatic seizures
C0393702	epilepsy with myoclonic astatic seizures
C0393702	epilepsy with myoclonic-astatic seizures
C0393702	epilepsy, myoclonic astatic
C0393702	myoclonic astatic epilepsies
C0393702	myoclonic astatic epilepsies
C0393702	myoclonic astatic epilepsy
C0393702	myoclonic astatic epilepsy 
C0393702	myoclonic atonic seizure
C0393702	myoclonic-atonic seizures
C0393703	myoclonic absence seizure
C0393703	myoclonic absence seizures
C0393706	Early infant epileptic encephalopathy wth suppression bursts
C0393706	Early infantile epileptic encephalopathy with suppression bursts
C0393706	Early infantile epileptic encephalopathy with suppression bursts
C0393706	Ohtahara syndrome
C0393715	drug-induced epilepsy
C0393720	epilepsies, photosensitive reflex
C0393720	epilepsy, photogenic
C0393720	epilepsy, photosensitive
C0393720	epilepsy, photosensitive reflex
C0393720	photic epilepsy
C0393720	photogenic epilepsy
C0393720	photosensitive epilepsies
C0393720	photosensitive epilepsy
C0393720	photosensitive reflex epilepsies
C0393720	photosensitive reflex epilepsy
C0393720	reflex epilepsies, photosensitive
C0393720	reflex epilepsy, photosensitive
C0393720	television epilepsy
C0393721	epilepsy only in relation to photic stimulation
C0393721	epilepsy only to photic stimul
C0393721	pure photosensitive epilepsy
C0393722	eyelid myoclonus with absences
C0393722	photomyoclonus
C0393733	non-convulsive simple partial status epilepticus
C0393734	complex partial status epilepticus 
C0393734	psychomotor status
C0393734	status epilepticus, complex partial
C0406740	epilepsy dementia amelogenesis imperfecta
C0406740	epilepsy, dementia and amelogenesis imperfecta
C0406740	epilepsy, mental deterioration and yellow teeth
C0406740	kohlschutter tonz syndrome
C0406740	kohlschutter's syndrome
C0406740	ktzs
C0422852	auditory partial seizure
C0422852	auditory seizures
C0422852	Auditory uncinate fit
C0422852	seizure, auditory
C0422852	seizures, auditory
C0422853	olfactory seizures
C0422853	olfactory uncinate fit
C0422853	seizure, olfactory
C0422853	seizures, olfactory
C0422855	epileptic vertigo
C0422855	Focal sensory vestibular seizure
C0422855	seizure, vertiginous
C0422855	seizure, vestibular
C0422855	seizures, vertiginous
C0422855	seizures, vestibular
C0422855	vertiginous epilepsy
C0422855	vertiginous seizures
C0422855	vestibular seizure
C0422855	vestibular seizures
C0422846	Versive Seizures
C0422870	absence seizure with impairment of consciousness only
C0422871	absence seizure with mild clonic components
C0422872	absence seizure with atonic components
C0422872	absences, atonic
C0422873	absence seizure with tonic components
C0422874	absence seizure with automatisms
C0422874	absence seizure, automatisms
C0422875	absence seizure with autonomic components
C0438414	Myoclonic Encephalopathies
C0438414	Myoclonic Encephalopathy
C0438418	visual reflex epilepsy
C0438419	unilateral epilepsy
C0472348	localisation-related idiopathic epilepsy
C0472348	localis-relatd idiopath epilep
C0472348	localization-related idiopathic epilepsy
C0472349	lesional epilepsy
C0472349	localisation based symptomatic epilepsy
C0472349	localisation-related symptomatic epilepsy
C0472349	localis-relat symptom epilepsy
C0472349	symptomatic focal epilepsy
C0472349	symptomatic structural focal epilepsy
C0472354	cryptogenic general epilepsy
C0472354	cryptogenic generalised epilepsy
C0472354	cryptogenic generalized epilepsy
C0472354	cryptogenic generalized epilepsy disorder
C0472355	epilepsy undeterm focal/gener
C0472355	epilepsy undetermined whether focal or generalised
C0472355	epilepsy undetermined whether focal or generalized
C0472355	epilepsy undetermined whether focal or generalized (disorder)
C0475521	localisation related idiopathic epilepsy and epileptic syndromes with seizures of localized onset
C0475521	localisation-related idiopathic epilepsy and epileptic syndromes with seizures of localized onset nos
C0475521	localization-related(focal)(partial)idiopathic epilepsy and epileptic syndromes with seizures of localised onset
C0475521	localization-related(focal)(partial)idiopathic epilepsy and epileptic syndromes with seizures of localized onset
C0477370	other generalized epilepsy and epileptic syndromes
C0477370	other generalized epilepsy and epileptic syndromes nos
C0477371	other epilepsy
C0477371	other forms of epilepsy
C0477371	other forms of epilepsy nos
C0477372	other status epilepticus
C0494471	localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures
C0494471	localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures nos
C0494472	localization-related symptomatic epilepsy and epileptic syndromes with complex partial seizures nos
C0494472	localizsation-related symptomatic epilepsy and epileptic syndromes with complex partial seizures
C0494475	convulsions grand mal
C0494475	generalised tonic clonic seizure
C0494475	generalised tonic clonic seizures
C0494475	generalised tonic-clonic seizures
C0494475	generalized tonic clonic seizure
C0494475	generalized tonic clonic seizures
C0494475	generalized tonic-clonic seizures
C0494475	grand mal
C0494475	grand mal convulsion
C0494475	grand mal convulsion
C0494475	grand mal convulsions
C0494475	grand mal convulsions
C0494475	tonic clonic convulsion
C0494475	tonic clonic convulsion
C0494475	tonic clonic convulsions
C0494475	tonic clonic convulsions
C0494475	tonic clonic seizure
C0494475	tonic clonic seizures
C0494475	tonic/clonic convulsions
C0494475	tonic-clonic convulsion
C0544645	focal sensory seizures
C0544645	sensory seizures
C0546878	salaam spasm
C0553754	fit (in known epileptic) nos
C0585108	recurrent febrile convulsion
C0585108	recurrent febrile convulsion (finding)
C0585108	recurrent febrile fit
C0586323	rum fits
C0586323	seizure, alcohol withdrawal
C0586323	seizure, alcohol withdrawal-induced
C0586323	seizure, alcoholic
C0586323	seizure, alcohol-related
C0586323	seizures, alcohol withdrawal
C0586323	seizures, alcohol withdrawal-induced
C0586323	seizures, alcoholic
C0586323	seizures, alcohol-related
C0595948	atypical absence seizure
C0595948	atypical absence seizures
C0595948	seizures, atypical absence
C0751122	dravet syndrome
C0751124	atypical absence epilepsy
C0751124	epilepsy, absence, atypical
C0751351	myoclonus, segmental
C0751352	myoclonus, nocturnal
C0751352	myoclonus, sleep
C0751352	sleep myoclonus
C0751383	amaurotic idiocy juvenile type
C0751383	amaurotic idiocy, juvenile type
C0751383	Batten disease, juvenile
C0751383	Batten mayou disease
C0751383	Batten spielmeyer vogt disease
C0751383	Batten-Mayou syndrome
C0751383	Batten-mayou syndrome
C0751383	cerebral lipidosis myoclon var
C0751383	cerebral lipidosis myoclonic variant
C0751383	cerebral lipidosis, myoclonic variant
C0751383	cerebroretinal degeneration, juvenile
C0751383	cerebroretinal degenerations, juvenile
C0751383	ceroid lipofuscinosis, neuronal 3, juvenile
C0751383	ceroid-lipofuscinoses, cln3-related neuronal
C0751383	ceroid-lipofuscinosis, cln3-related neuronal
C0751383	cln3
C0751383	cln3 related neuronal ceroid lipofuscinosis
C0751383	disease, juvenile batten
C0751383	diseases, juvenile batten
C0751383	juvenile batten disease
C0751383	juvenile cerebroretinal degeneration
C0751383	neuronal ceroid lipofuscinosis juvenile type
C0751383	neuronal ceroid-lipofuscinosis, cln3-related
C0751383	spielmeyer sjogren disease
C0751383	spielmeyer vogt disease
C0751383	spielmeyer-vogt type neuronal ceroid lipofuscinosis
C0751383	vogt spielmeyer disease
C0751495	convulsions local
C0751495	focal seizure
C0751495	focal seizures
C0751495	local convulsion
C0751495	local seizure
C0751495	partial seizure
C0085541	frontal lobe onset seizure
C0085541	frontal lobe onset seizures
C0751495	partial seizure (finding)
C0751495	partial seizures
C0751495	seizure, focal
C0751495	seizure, partial
C0751495	seizures, partial, afebrile
C0751524	status epilepticus, simple partial
C0751651	mitochondrial diseases
C0751651	mitochondrial disorder
C0751651	mitochondrial disorders
C0751785	Unverricht-Lundborg syndrome
C0751785	Baltic myoclonus epilepsy
C0751785	Unverricht-Lundborg disease
C0751946	myoclonus, benign neonatal sleep
C0751946	Benign neonatal sleep myoclonus
C0752323	focal clonic seizures
C0752324	focal tonic seizures
C0877017	bilateral convulsive seizures
C0877017	Generalized tonic-clonic seizures, secondary
C0877017	Generalized tonic-clonic seizures, secondary
C0877017	focal to bilateral tonic-clonic seizure
C0877017	Secondary generalised tonic clonic seizures
C0877017	Secondary generalized tonic clonic seizures
C0877017	Generalized tonic-clonic seizures, secondary
C0877017	Secondarily generalised tonic-clonic seizures
C1096063	drug refractory epilepsies
C1096063	drug refractory epilepsy
C1096063	drug resistant epilepsies
C1096063	drug resistant epilepsy
C1096063	epilepsies, drug refractory
C1096063	epilepsies, drug resistant
C1096063	intractable epilepsies
C1096063	intractable epilepsy
C1096063	medication resistant epilepsies
C1096063	medication resistant epilepsy
C1096063	refractory epilepsies
C1299598	seizures due to metabolic disorder
C1406659	symptomatic epilepsy
C1446648	brain syndrome
C1446648	non-specific brain syndrome
C1446648	non-specific brain syndrome, nos
C1527366	epileptic spasms
C1527366	salaam attack
C1527366	salaam attacks
C1527366	salaam seizure
C1527366	salaam seizures
C1719410	epilepsy and recurrent seizures
C1827389	epilepsy, not intractable
C1827389	epilepsy, not refractory
C1835614	congenital stiff man syndrome
C1835614	congenital stiff person syndrome
C1835614	exagerrated startle reflex
C1835614	exaggerated startle reaction
C1835614	familial startle disease
C1835614	hereditary hyperekplexia
C1835614	hkpx1
C1835614	hyperekplexia, hereditary 1
C1835614	hyperexplexia hereditary
C1835614	startle disease, familial
C1835614	startle reaction, exaggerated
C1835614	sthe
C1835614	stiff baby syndrome
C1835614	stiff-baby syndrome
C1835614	stiff-man syndrome, congenital
C1835614	stiff-person syndrome, congenital
C1836402	myoclonic seizure, intractable
C1836402	myoclonic seizure, refractory
C1836402	myoclonic seizures, intractable
C1836824	ganglioside gm3 synthase deficiency
C1836824	infantile-onset symptomatic epilepsy syndrome
C1836824	salt and pepper developmental regression syndrome
C1836824	salt and pepper mental retardation syndrome
C1836824	spdrs
C1846620	hemiclonic seizures
C1846620	Unilateral clonic seizures
C1847501	glut1 deficiency syndrome
C1849508	antiquitin deficiency
C1849508	epd
C1849508	pde
C1849508	pyridoxine dependency
C1849508	pyridoxine-dependent seizures
C1864723	pnpod
C1864723	pyridoxal 5-phosphate dependent epilepsy
C1864723	pyridoxal 5'-phosphate-dependent epilepsy
C1864723	pyridoxal phosphate-responsive seizures
C1864723	pyridoxine-5'-phosphate oxidase deficiency
C1960676	non-epileptic myoclonus
C1960877	myoclonus of stapedius muscle
C1960877	stapedial myoclonus
C1998254	myoclonus of tensor tympani muscle
C1998254	myoclonus tensor tympani muscle
C1998254	tensor tympani myoclonus
C2363129	benigh rolandic epilepsy 
C2363129	Centralopathic epilepsy
C2363129	Temporal-central focal epilepsy
C2363129	Benign Childhood Epilepsy With Centro Temporal Spikes
C2363129	Benign epilepsy with centrotemporal spikes
C2363129	BECTS
C2363129	Childhood epilepsy with centro-temporal spikes
C2363129	CECTS
C2748572	epilepsy, ataxia, sensorineural deafness and tubulopathy
C2748572	seizure, sensorineural deafness, ataxia, intellectual disability, electrolyte imbalance syndrome
C2748572	seizures, sensorineural deafness, ataxia, mental retardation and electrolyte imbalance
C2748572	sesame (seizures, sensorineural deafness, ataxia, mental retardation, electrolyte imbalance) syndrome
C2748572	sesames syndrome
C2875138	epilepsy, unspecified, not intractable
C2875141	epilepsy, unspecified, intractable
C2931125	atherosclerosis, deafness, diabetes, epilepsy, nephropathy syndrome
C2931125	feigenbaum bergeron richardson syndrome
C2931381	mental retardation x-linked, tranebjaerg type seizures and psoriasis
C2931381	tranebjaerg svejgaard syndrome
C2931381	x-linked intellectual disability with seizure and psoriasis syndrome
C2931381	x-linked mental retardation associated with psoriasis
C2931579	battaglia neri syndrome
C2931579	epilepsy, microcephaly, skeletal dysplasia syndrome
C3164682	focal seizure with experiential sensory symptoms
C3164682	temporo-parieto-occipital junction seizure
C3494976	migrating partial seizures in infancy
C3494990	myoclonic seizure, non-intractable
C3494990	myoclonic seizure, non-refractory
C3494991	dravet syndrome, non-intractable
C3494991	dravet syndrome, non-refractory
C3494991	severe myoclonic epilepsy in infancy, non-intractable
C3494991	severe myoclonic epilepsy in infancy, non-refractory
C3494992	dravet syndrome, refractory
C3494992	intractable dravet syndrome 
C3494992	severe myoclonic epilepsy in infancy, intractable
C3494992	severe myoclonic epilepsy in infancy, refractory
C3495024	typical absence seizure, non-intractable
C3495024	typical absence seizure, non-refractory
C3495025	typical absence seizure, intractable
C3495025	typical absence seizure, refractory
C3536561	benign childhood epilepsy with centrotemporal spikes, non-intractable
C3536561	benign childhood epilepsy with centrotemporal spikes, non-refractory
C3536561	benign rolandic epilepsy, non-refractory
C3536562	benign childhood epilepsy with centrotemporal spikes, intractable
C3536562	benign childhood epilepsy with centrotemporal spikes, refractory
C3536562	benign rolandic epilepsy, refractory
C3661551	Complex partial epileptic seizure of temporal lobe
C3661551	Complex partial seizure of temporal lobe
