alcohol abuse	Alcoholic Intoxication	
C0151526	premature	
C0151526	premature birth	
C0025322	premature menopause	
C0151526	prematurely	
C0206158	Premenopause	
C0151526	preterm	
generalised	primarily generalised tonic clonic seizures	
generalised	primary generalised epilepsy	
C0750979	primary malignant brain tumors	
C0750979	primary malignant neoplasm of brain	
C0030567	primary parkinsonism	
dementia comorbidity 	primary senile degenerative dementia	
Primidone ASM 	Primidone	
C0265113	progressing stroke	
C0007761	progressive cerebellar tremor	
C0270823	prolonged epileptic twilight state	
C0344698	prominent eustachian valve	
C0344698	prominent valve inf vena cava	
C0344698	prominent valve of inferior vena cava	
C0344698	prominent valve of inferior vena cava (disorder)	
Functional Dissociative Seizures	pseudoseizures	
psychiatric comorbidity	psychiatric illness	
FDS	psychogenic non-epileptic seizure	
FDS	psychogenic seizure	
FDS	psychogenic seizures	
focal	Psychomotor fit	
focal	psychomotor status	
C0347873	psychosensory epilepsy	
comorbidity	psychotic episode	
comorbidity	psychotic episodes	
comorbidity	PTSD	
C0034012	puberty - delayed	
C0265914	pulmonary vein abnormality	
C0036400	pulmonary venous return anomaly	
C0393721	pure photosensitive epilepsy	
C0265914	pv - pulmonary vein abnormality	
generalised	Pyknolepsy	
comorbidity	pyrexial seizures	
DEE syndrome	pyridoxal 5-phosphate dependent epilepsy	
DEE syndrome	pyridoxal 5'-phosphate-dependent epilepsy	
DEE syndrome	pyridoxine dependency	
cancer therapy	radiotherapy	
C0007761	ramsay hunt cerebellar syndrome	
C0007761	ramsay hunt dentate syndrome	
C0007761	ramsay hunt syndrome - ataxia	
C0007761	ramsay hunt syndrome 1	
C0007761	ramsay hunt's syndrome 2	
C0393484	Rasmussen encephalitis	
C0393484	rasmussen syndrome	
C3661860	rasmussen syndrome	
C3661860	rasmussen syndrome, refractory	
C0392475	rbs	
C0278193	reading epilepsy	
C0278193	Reading seizure	
febrile seizures comorbidity 	febrile convulsion	
C0270857	reflex epilepsies	
C0393720	reflex epilepsies, photosensitive	
C0393720	reflex epilepsy, photosensitive	
C3661861	refractory acquired epileptic aphasia	
C1096063	refractory epilepsies	
C0265868	remnants of valves of sinus venosus	
C0841323	removal of brain tumour	
C0841323	removal of intracranial tumour	
C1536875	renal arteriovenous malformation	
C0195961	resection of brain lobe	
C1850092	Respiratory distress in neonatal period	
C0530684	Retigabine	
C0521570	retinal arteriovenous anomaly	
C0521570	retinal arteriovenous malformation	
C0521570	retinal arteriovenous malformation (disorder)	
C0423407	retinal cirsoid aneurysm	
C0423462	retinociliary vein	
C0270821	retropulsion absence	
C0270821	retropulsion petit mal	
C0035372	rett syndrome	
C0457433	right hemiplegia	
C0586324	right sided cerebral hemisphere cerebrovascular accident	
C0586324	right sided cva	
C0457433	right sided hemiplegia	
C2026260	right temporal lobe lesion	
C4551376	right vertebral artery embolism with stroke	
C0457433	right-sided hemiplegia	
C0265482	ring chromosome 20	
C0392475	robert's syndrome	
C0376532	rolandic epilepsy	
C3662441	rolandic seizures with status epilepticus	
C0213404	Rufinamide	
C0213404	Rufinamide (product)	
C0213404	Rufinamide (substance)	
C0586323	rum fits	
C0270819	running epilepsy	
cerebrovascular	rupture of blood vessel in brain	
C0241799	rupture of cerebral arteriovenous malformation	
C0241799	ruptured avm	
C0241799	ruptured cerebr arterven malf	
C0242084	ruptured cerebral aneurysm	
C0241799	ruptured cerebral arteriovenous malformation	
C1857495	sagittal craniostenosis with congenital heart disease, mental deficiency and mandibular ankylosis	
C1527366	salaam attack	
C1527366	salaam attacks	
C1527366	salaam seizure	
C1527366	salaam seizures	
C0546878	salaam spasm	
C1836824	salt and pepper developmental regression syndrome	
C1836824	salt and pepper mental retardation syndrome	
C0338465	Sandifer syndrome	
C1839125	say meyer syndrome	
C0583275	SCBU	
C0036323	Schistosomiasis	
C0266484	schizencephaly	
C0036341	schizophrenia	
C0036429	sclerosis	
C0270838	Secondarily generalised seizures	
focal FBTC 	Secondarily generalised tonic-clonic seizures	
C0270838	secondarily generalized seizure 	
C0270838	Secondarily generalized seizures	
C0270838	secondary generalisation	
C0270838	secondary generalised seizure	
C0270838	secondary generalised seizures	
focal FBTC	Secondary generalised tonic clonic seizure	
focal FBTC	Secondary generalised tonic clonic seizures	
C0270838	secondary generalization	
C0270838	secondary generalized seizure	
C0270838	secondary generalized seizures	
focal FBTC 	Secondary generalized tonic clonic seizure	
focal FBTC 	Secondary generalized tonic clonic seizures	
C0393623	segmental cord myoclonus	
C0036572	seizure	
C0009952	seizure associated with fever	
seizures - unclassified	seizure disorder	
C3662042	seizure disorder as sequela of stroke	
C0014557	seizure disorders, post-traumatic	
C1299598	seizure due to metabolic disorder	
C1299590	seizure free	
C1299590	seizure freedom	
C0748601	seizure like event	
C0748601	seizure like events	
C0748601	seizure markers	
C2748572	seizure, sensorineural deafness, ataxia, intellectual disability, electrolyte imbalance syndrome	
C0748601	seizure-like event	
C0748601	seizure-like events	
C0036572	seizures	
C0751495	seizures are focal	
C0234533	seizures are generalised	
C1299598	seizures due to metabolic disorder	
C0159020	seizures in newborn	
C0159020	seizures in the newborn	
C0393690	seizures of parietal lobe	
C2748572	seizures, sensorineural deafness, ataxia, mental retardation and electrolyte imbalance	
C0424366	Self-harm	
C0085271	Self-Injurious Behavior	
focal	Self-limited epilepsy with centrotemporal spikes	
dementia comorbidity	senile dementia	
dementia, comorbidity	senile dementia, alzheimer type	
C0151313	Sensory neuropathy	
C0751496	sensory seizure 	
C0751496	sensory seizures	
C0270857	sensory-induced epilepsy	
C2748572	sesame (seizures, sensorineural deafness, ataxia, mental retardation, electrolyte imbalance) syndrome	
C2748572	sesames syndrome	
C4510007	severe intellectual disability, epilepsy, anal anomaly, distal phalangeal hypoplasia syndrome	
C3494992	severe myoclonic epilepsy in infancy, intractable	
C3494992	severe myoclonic epilepsy in infancy, refractory	
C3508474	severe traumatic brain injury	
C0030567	shaking palsy	
C0268226	sialidase deficiency	
C0268226	sialidosis	
comorbidity	simple febrile seizure	
C0234974	simple partial seizure	
C0016399	simple partial seizure with motor dysfunction	
C0234974	simple partial seizure, consciousness not impaired	
C0234974	simple partial seizures	
C0234974	simple partial seizures with consciousness preserved	
C0016399	simple partial seizures with motor signs	
C0270830	Simple partial seizures with somatosensory or special sensory dysfunction	
C0149886	simplefebrile seizure	
C0393707	situation related seizures	
C0393707	situation-related seizures	
C0037304	Skull Fracture	
C0037304	Skull Fractures	
C4518080	slc35a3-cdg - solute carrier family 35 member a3 congenital disorder of glycosylation	
C0037315	sleep apnoea	
C0751352	sleep myoclonus	
C2231106	Sleep related movement disorder	
C0441471	smaller ones	
C3665809	SMART	
C3665809	SMART syndrome	
C3665809	SMART Syndrome (stroke like migraine attacks after radiation therapy)	
C0074730	sodium bromide	
C0037567	Sodium Valproate	
C0347874	somatosensory epilepsy	
C0154694	spastic hemiplegia	
C1836824	spdrs	
C0583275	special care baby unit	
C0751383	spielmeyer sjogren disease	
C0751383	spielmeyer vogt disease	
C0751383	spielmeyer-vogt type neuronal ceroid lipofuscinosis	
C0270823	spike wave stupor	
C0348023	spinal arteriovenous malformat	
C0348023	spinal arteriovenous malformation	
C0348023	spinal avm	
C3697670	spinal cord myoclonus	
C3697670	spinal myoclonus	
C0340826	splenoportal vascular anomaly	
C0340825	spongy venous malformation	
C1960877	stapedial myoclonus	
C1835614	startle disease, familial	
C1835614	startle reaction, exaggerated	
C0234166	startle syndrome	
C0234378	static tremor	
C0477372	status epilepticus	
C0038220	status epilepticus 	
C3662441	status epilepticus in benign rolandic epilepsy	
focal	status epilepticus, complex partial	
generalised	status epilepticus, generalized	
focal	status epilepticus, simple partial	
C0038220	status epilepticus, unspecified	
generalised	status pyknolepticus	
generalised	status, absence	
generalised	status, petit mal	
C1835614	stiff baby syndrome	
C1835614	stiff-baby syndrome	
C0075262	Stiripentol	
C0038435	stress	
C0038454	stroke	
cerebrovascular stroke	stroke	
C0038454	stroke and cerebrovascular accident unspecified	
C4518466	stroke and migraine	
C4518466	stroke co-occurrent with migraine	
C4543199	stroke due to basilar artery thrombus	
cerebrovascular comorbidity 	stroke due to cerebral arterial occlusion	
cerebrovascular	stroke due to intracerebral haemorrhage	
C4520263	stroke due to occlusion of left anterior cerebral artery	
C4520262	stroke due to occlusion of left posterior communicating artery	
C4520264	stroke due to occlusion of right anterior cerebral artery	
C4520265	stroke due to occlusion of right posterior communicating artery	
C4543198	stroke due to thrombus of left carotid artery	
C4543202	stroke due to thrombus of left middle cerebral artery	
C4543200	stroke due to thrombus of right carotid artery	
C4520261	stroke due to thrombus of right cerebellar artery	
C4543201	stroke due to thrombus of right middle cerebral artery	
C4520260	stroke due to thrombus of right posterior cerebral artery	
C4520259	stroke due to thrombus of right vertebral artery	
C0554399	stroke in the puerperium	
C0554399	stroke in the puerperium (disorder)	
C3665809	stroke like migraine attacks after radiation therapy	
C0038454	stroke nos	
cerebrovascular comorbidity 	stroke of uncertain pathology	
C0038454	stroke unspecified	
C0038454	stroke, cerebral	
C0038454	stroke, cerebrovascular	
C0265113	stroke-in-evolution syndrome	
C0038454	strokes	
C4524097	structural epilepsy	
C3714787	structure of central nervous system	
C3714787	structures of the central nervous system	
C0038505	sturge disease	
C0038505	sturge kalischer weber syndrome	
C0038505	sturge syndrome	
C0038505	sturge weber dimitri syndrome	
C0038505	sturge weber krabbe syndrome	
C0038505	sturge weber syndrome	
C0038505	sturge-kalischer-weber syndrome	
C0038505	sturge's syndrome	
C0038505	sturge-weber disease	
C0038505	sturge-weber phakomatosis	
C0038505	sturge-weber sequence	
C0038505	sturge-weber syndrome	
C0038505	sturge-weber-dimitri syndrome	
C0038505	sturge-weber-krabbe syndrome	
C0038525	subarachnoid haemorrhage	
C0038525	subarachnoid hemorrhage	
combined generalised & focal	sub-cortical epilepsy	
C0009995	subdivided left atrium	
C0009995	subdivided left atriums	
C0038539	subdural abscess	
C0038539	subdural empyema	
C0018946	subdural haematoma	
C0018946	subdural haemorrhage	
ASM	Succinimide	
C0038623	Succinimide antiepileptic	
C0038623	Succinimides	
C4304727	sudden unexpected death in epilepsy	
C4304727	SUDEP	
C0038807	sulthiame	
C0038807	Sultiame	
C0347536	Superficial Head Injury	
C0685761	supernumerary azygos vein	
C0038874	Supratentorial Neoplasms	
C0038505	sws	
C0270855	symptomatic early myoclonic encephalopathy	
C1406659	symptomatic epilepsy	
C0472349	symptomatic focal epilepsy	
generalised	Symptomatic generalised epilepsy	
generalised	Symptomatic Myoclonic Epilepsy	
C0393619	symptomatic myoclonus	
C4023516	symptomatic seizure	
C4023516	symptomatic seizures	
C0472349	symptomatic structural focal epilepsy	
C0039070	syncopal	
C0039070	syncope	
carbamazepine	Tegretol	
head injury	temporal bone fracture	
focal	temporal lobe complex partial seizures	
temporal lobe epilepsy - focal	temporal lobe epilepsy	
C2026258	temporal lobe lesion	
temporal lobe seizures - focal	temporal lobe onset seizure	
epilepsy surgery	temporal lobe resection	
C2026258	temporal structural lesion	
C2363129	Temporal-central focal epilepsy	
C1998254	tensor tympani myoclonus	
C0233324	term	
C0233324	term birth	
C0392475	tetraphocomelia-cleft palate syndrome	
C0040034	Thrombocytopenia	
C0079102	thrombosis cerebral	
C0795687	thrombosis cerebral arterial	
C0795687	thrombosis of cerebral arteries	
C0795687	thrombosis of cerebral artery	
C0242129	thrombotic stroke	
comorbidity - cerebrovascular	TIA	
C0068897	tiagabine	
C0040188	tic	
C0040188	tic disorder unspecified	
C0494475	tonic clonic convulsion	
C0014549	tonic clonic convulsion syndrome	
C0494475	tonic clonic convulsions	
C0494475	tonic clonic seizure	
C0014549	tonic clonic seizure syndrome	
C0494475	tonic clonic seizures	
C0086241	tonic epilepsies	
C0086241	tonic epilepsy	
C0270844	tonic epileptic seizure 	
C0270844	tonic seizure	
C0270844	tonic seizures	
C0494475	tonic/clonic convulsions	
C0494475	tonic-clonic convulsion	
C0014549	tonic-clonic convulsion syndrome	
C0014549	tonic-clonic convulsion syndromes	
C0014549	tonic-clonic epilepsies	
C0014549	tonic-clonic epilepsy	
C0014549	tonic-clonic epileptic seizures	
C0014549	tonic-clonic epileptic seizures 	
C0494475	tonic-clonic seizure	
C0014549	tonic-clonic seizure disorder	
C0014549	tonic-clonic seizure syndrome	
C0014549	tonic-clonic seizure syndromes	
C0494475	tonic-clonic seizures	
C0723778	Topamax	
C0076829	topiramate	
C0076829	Topiramate (product)	
C0076829	Topiramate (substance)	
C0036400	total anomalous pulmonary venous connection	
C0036400	total anomalous pulmonary venous drainage	
C2931381	tranebjaerg svejgaard syndrome	
comorbidity - cerebrovascular	transient cerebral attack	
comorbidity - cerebrovascular	transient cerebral ischemia	
C4087400	Transient loss of consciousness	
C0005604	traumatic birth history	
brain injury comorbidity 	traumatic brain injury	
C1536522	traumatic brain injury at birth	
C0014557	traumatic epilepsies	
C5139644	Triggered by head trauma	
C0041038	Trimethadione	
C0041038	Troxidone	
C0340832	truncal arteriovenous fistula	
malformations of cortical development	tuberous sclerosis	
C0751728	tumor of optic nerve and sheath	
C0031941	tumor of pineal gland	
C0007798	tumor of the cerebral ventricle	
C0751728	tumour of optic nerve and sheath	
C0031941	tumour of pineal gland	
C0751728	tumour of the optic nerve and sheath	
C0424531	Turn	
C0424531	Turns	
diabetes comorbidity 	type 1 diabetes	
diabetes comorbidity 	type 2 diabetes	
C0268226	type I mucolipidoses	
C0268226	type i mucolipidosis	
generalised	typical absence seizure	
C4316903	typical absence seizure	
C4316903	typical absence seizures 	
C4316903	typical absences	
C0270826	unclassified epileptic seizures	
C1846620	Unilateral clonic seizures	
C0438419	unilateral epilepsy	
C0474966	unilateral segmental cavernous haemangioma	
C1536522	Unspecified brain damage due to birth injury	
C0007820	unspecified cerebrovascular disease	
C0424605	unspecified delay in development	
C0424531	unusual episode	
C0424531	Unusual episodes	
C0751785	Unverricht-Lundborg disease	
C0751785	Unverricht-Lundborg syndrome	
C1657271	used to drink	
C0006868	uses cannabis	
C0563606	Vacant episode	
C0563606	Vacant episodes	
sodium valproate ASM	Valproate	
sodium valproate ASM	Valproic Acid	
C0038454	vascular accident of the brain	
C0038454	vascular brain accidents	
C0007820	vascular brain disorders	
C0007820	vascular disease	
C0042420	vasovagal syncope	
C0266794	venous anomaly of umbilical cord	
C0344687	venous duct abnormality	
C0265950	venous malformation	
C2937220	venous malformation	
C0265950	venous malformations	
C0459163	venous remnant	
C0340818	venous valvular anomaly	
C0340829	venous-lymphatic malformation	
C0007798	ventricular tumour  of the brain	
C0422846	Versive Seizures	
C0422855	vertiginous epilepsy	
C0422855	vertiginous seizure	
C0422855	vertiginous seizures	
C4053870	very preterm birth	
C0422855	vestibular seizure	
C0422855	vestibular seizures	
vigabatrin	Vigabatrin	
C0243010	viral encephalitis	
C0270825	visceral epilepsy	
C4304402	visceral neuropathy and brain anomaly with facial dysmorphism and developmental delay syndrome	
C0270824	visual epilepsy	
comorbidity	Visual Impairment	
focal	visual partial seizure 	
C0278188	visual partial seizures	
C0438418	visual reflex epilepsy	
comorbidity	visually impaired	
C1864723	vitamine B6 dependent seizures	
C0751383	vogt spielmeyer disease	
C1627951	Voltage gated potassium channel antibody	
lifestyle	voluntary work	
C0556334	weekend drinker	
Infantile epileptic spasms syndrome DEE	west syndrome	
Infantile epileptic spasms syndrome DEE	West's syndrome	
C1956097	Wolf-Hirschhorn Syndrome	
C1845862	X-linked Creatine deficiency	
C4273990	x-linked epilepsy with learning disability and behaviour disorder syndrome	
C2931381	x-linked intellectual disability with seizure and psoriasis syndrome	
C2931381	x-linked mental retardation associated with psoriasis	
C0251504	zaleplon	
C0876224	Zonegran	
ASM	zonisamide	
