myoclonic epilepsy	CUI=C0014550	PREF=Myoclonic Epilepsy	TUI=T047	STY=Disease or Syndrome
myoclonic cerebellar dyssynergia	CUI=C0007761	PREF=Myoclonic Cerebellar Dyssynergia	TUI=T047	STY=Disease or Syndrome	
myoclonic cerebellar dyssynergias	CUI=C0007761	PREF=Myoclonic Cerebellar Dyssynergia	TUI=T047	STY=Disease or Syndrome	
progressive cerebellar tremor	CUI=C0007761	PREF=Myoclonic Cerebellar Dyssynergia	TUI=T047	STY=Disease or Syndrome	
progressive cerebellar tremor (disorder)	CUI=C0007761	PREF=Myoclonic Cerebellar Dyssynergia	TUI=T047	STY=Disease or Syndrome	
ramsay hunt cerebellar syndrome	CUI=C0007761	PREF=Myoclonic Cerebellar Dyssynergia	TUI=T047	STY=Disease or Syndrome	
ramsay hunt dentate syndrome	CUI=C0007761	PREF=Myoclonic Cerebellar Dyssynergia	TUI=T047	STY=Disease or Syndrome	
ramsay hunt syndrome - ataxia	CUI=C0007761	PREF=Myoclonic Cerebellar Dyssynergia	TUI=T047	STY=Disease or Syndrome	
ramsay hunt syndrome 1	CUI=C0007761	PREF=Myoclonic Cerebellar Dyssynergia	TUI=T047	STY=Disease or Syndrome	
ramsay hunt's syndrome 2	CUI=C0007761	PREF=Myoclonic Cerebellar Dyssynergia	TUI=T047	STY=Disease or Syndrome	
attack - epileptic	CUI=C0014544	PREF=Epilepsy	TUI=T047	STY=Disease or Syndrome	
epilectic attack, nos	CUI=C0014544	PREF=Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsies	CUI=C0014544	PREF=Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy	CUI=C0014544	PREF=Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy (disorder)	CUI=C0014544	PREF=Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy, unspecified	CUI=C0014544	PREF=Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epileptic	CUI=C0014544	PREF=Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epileptic attack	CUI=C0014544	PREF=Epilepsy	TUI=T047	STY=Disease or Syndrome	
epileptic convulsions	CUI=C0014544	PREF=Epilepsy	TUI=T047	STY=Disease or Syndrome	
epileptic disorder	CUI=C0014544	PREF=Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epileptic fit	CUI=C0014544	PREF=Epilepsy	TUI=T047	STY=Disease or Syndrome	
epileptic fits	CUI=C0014544	PREF=Epilepsy	TUI=T047	STY=Disease or Syndrome	
epileptic seizure	CUI=C0014544	PREF=Epilepsy	TUI=T047	STY=Disease or Syndrome	
epileptic seizures	CUI=C0014544	PREF=Epilepsy	TUI=T047	STY=Disease or Syndrome	
seizure disorders	CUI=C0014544	PREF=Epilepsy	TUI=T047	STY=Disease or Syndrome	
disorders, focal seizure	CUI=C0014547	PREF=Epilepsies, Partial	TUI=T047	STY=Disease or Syndrome	
disorders, partial seizure	CUI=C0014547	PREF=Epilepsies, Partial	TUI=T047	STY=Disease or Syndrome	
epilepsies, focal	CUI=C0014547	PREF=Epilepsies, Partial	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsies, localization-related	CUI=C0014547	PREF=Epilepsies, Partial	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsies, partial	CUI=C0014547	PREF=Epilepsies, Partial	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy, localization-related	CUI=C0014547	PREF=Epilepsies, Partial	TUI=T047	STY=Disease or Syndrome	
epilepsy, partial	CUI=C0014547	PREF=Epilepsies, Partial	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
focal epilepsies	CUI=C0014547	PREF=Epilepsies, Partial	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
focal epilepsy	CUI=C0014547	PREF=Epilepsies, Partial	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
focal seizure disorder	CUI=C0014547	PREF=Epilepsies, Partial	TUI=T047	STY=Disease or Syndrome	
focal seizure disorders	CUI=C0014547	PREF=Epilepsies, Partial	TUI=T047	STY=Disease or Syndrome	
local epilepsy	CUI=C0014547	PREF=Epilepsies, Partial	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
localisation related epilepsy	CUI=C0014547	PREF=Epilepsies, Partial	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
localisation-related epilepsy	CUI=C0014547	PREF=Epilepsies, Partial	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
localisation-related epilepsy	CUI=C0014547	PREF=Epilepsies, Partial	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
localization-related epilepsies	CUI=C0014547	PREF=Epilepsies, Partial	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
partial epilepsy	CUI=C0014547	PREF=Epilepsies, Partial	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
partial seizure disorders	CUI=C0014547	PREF=Epilepsies, Partial	TUI=T047	STY=Disease or Syndrome	
seizure disorder, focal	CUI=C0014547	PREF=Epilepsies, Partial	TUI=T047	STY=Disease or Syndrome	
seizure disorder, partial	CUI=C0014547	PREF=Epilepsies, Partial	TUI=T047	STY=Disease or Syndrome	
seizure disorders, focal	CUI=C0014547	PREF=Epilepsies, Partial	TUI=T047	STY=Disease or Syndrome	
seizure disorders, partial	CUI=C0014547	PREF=Epilepsies, Partial	TUI=T047	STY=Disease or Syndrome	
epilepsy, generalized	CUI=C0014548	PREF=Epilepsy, Generalized	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
generalised epilepsy	CUI=C0014548	PREF=Epilepsy, Generalized	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
generalised seizure disorder	CUI=C0014548	PREF=Epilepsy, Generalized	TUI=T047	STY=Disease or Syndrome	
generalized epilepsies	CUI=C0014548	PREF=Epilepsy, Generalized	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
generalized epilepsy (disorder)	CUI=C0014548	PREF=Epilepsy, Generalized	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
seizure disorder, generalized	CUI=C0014548	PREF=Epilepsy, Generalized	TUI=T047	STY=Disease or Syndrome	
seizure disorders, generalized	CUI=C0014548	PREF=Epilepsy, Generalized	TUI=T047	STY=Disease or Syndrome	
grand mal epilepsy 	CUI=C0014549	PREF=Tonic-Clonic Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
grand mal seizure disorder	CUI=C0014549	PREF=Tonic-Clonic Epilepsy	TUI=T047	STY=Disease or Syndrome	
grand mal seizure disorder	CUI=C0014549	PREF=Tonic-Clonic Epilepsy	TUI=T047	STY=Disease or Syndrome	
major epilepsies	CUI=C0014549	PREF=Tonic-Clonic Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
major motor seizure disorder	CUI=C0014549	PREF=Tonic-Clonic Epilepsy	TUI=T047	STY=Disease or Syndrome	
major motor seizure disorder	CUI=C0014549	PREF=seizure dis major motor	TUI=T047	STY=Disease or Syndrome
syndromes, tonic-clonic seizure	CUI=C0014549	PREF=Tonic-Clonic Epilepsy	TUI=T047	STY=Disease or Syndrome	
tonic clonic convulsion disorder	CUI=C0014549	PREF=Tonic-Clonic Epilepsy	TUI=T047	STY=Disease or Syndrome	
tonic clonic convulsion syndrome	CUI=C0014549	PREF=Tonic-Clonic Epilepsy	TUI=T047	STY=Disease or Syndrome	
tonic clonic seizure disorder	CUI=C0014549	PREF=Tonic-Clonic Epilepsy	TUI=T047	STY=Disease or Syndrome	
tonic clonic seizure syndrome	CUI=C0014549	PREF=Tonic-Clonic Epilepsy	TUI=T047	STY=Disease or Syndrome	
tonic-clonic convulsion disorder	CUI=C0014549	PREF=Tonic-Clonic Epilepsy	TUI=T047	STY=Disease or Syndrome	
tonic-clonic convulsion disorder	CUI=C0014549	PREF=Tonic-Clonic Epilepsy	TUI=T047	STY=Disease or Syndrome	
tonic-clonic convulsion disorders	CUI=C0014549	PREF=Tonic-Clonic Epilepsy	TUI=T047	STY=Disease or Syndrome	
tonic-clonic convulsion disorders	CUI=C0014549	PREF=Tonic-Clonic Epilepsy	TUI=T047	STY=Disease or Syndrome	
tonic-clonic convulsion syndrome	CUI=C0014549	PREF=Tonic-Clonic Epilepsy	TUI=T047	STY=Disease or Syndrome	
tonic-clonic convulsion syndrome	CUI=C0014549	PREF=Tonic-Clonic Epilepsy	TUI=T047	STY=Disease or Syndrome	
tonic-clonic convulsion syndrome	CUI=C0014549	PREF=Tonic-Clonic Epilepsy	TUI=T047	STY=Disease or Syndrome	
tonic-clonic convulsion syndromes	CUI=C0014549	PREF=Tonic-Clonic Epilepsy	TUI=T047	STY=Disease or Syndrome	
tonic-clonic convulsion syndromes	CUI=C0014549	PREF=Tonic-Clonic Epilepsy	TUI=T047	STY=Disease or Syndrome	
tonic-clonic epilepsies	CUI=C0014549	PREF=Tonic-Clonic Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
tonic-clonic epilepsies	CUI=C0014549	PREF=Tonic-Clonic Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
tonic-clonic epilepsy	CUI=C0014549	PREF=Tonic-Clonic Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
tonic-clonic epileptic seizures	CUI=C0014549	PREF=Tonic-Clonic Epilepsy	TUI=T047	STY=Disease or Syndrome	
tonic-clonic seizure disorder	CUI=C0014549	PREF=Tonic-Clonic Epilepsy	TUI=T047	STY=Disease or Syndrome	
tonic-clonic seizure disorder	CUI=C0014549	PREF=Tonic-Clonic Epilepsy	TUI=T047	STY=Disease or Syndrome	
tonic-clonic seizure disorders	CUI=C0014549	PREF=Tonic-Clonic Epilepsy	TUI=T047	STY=Disease or Syndrome	
tonic-clonic seizure disorders	CUI=C0014549	PREF=Tonic-Clonic Epilepsy	TUI=T047	STY=Disease or Syndrome	
tonic-clonic seizure syndrome	CUI=C0014549	PREF=Tonic-Clonic Epilepsy	TUI=T047	STY=Disease or Syndrome	
tonic-clonic seizure syndrome	CUI=C0014549	PREF=Tonic-Clonic Epilepsy	TUI=T047	STY=Disease or Syndrome	
tonic-clonic seizure syndrome	CUI=C0014549	PREF=Tonic-Clonic Epilepsy	TUI=T047	STY=Disease or Syndrome	
tonic-clonic seizure syndromes	CUI=C0014549	PREF=Tonic-Clonic Epilepsy	TUI=T047	STY=Disease or Syndrome	
absence epilepsy	CUI=C0014553	PREF=Absence epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
absence seizure	CUI=C0014553	PREF=Absence epilepsy	TUI=T047	STY=Disease or Syndrome	
absence seizure disorder	CUI=C0014553	PREF=Absence epilepsy	TUI=T047	STY=Disease or Syndrome	
absence seizure disorders	CUI=C0014553	PREF=Absence epilepsy	TUI=T047	STY=Disease or Syndrome	
absence seizures	CUI=C0014553	PREF=Absence epilepsy	TUI=T047	STY=Disease or Syndrome	
epilepsy, absence	CUI=C0014553	PREF=Absence epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
petit mal (disorder)	CUI=C0014553	PREF=Absence epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
petit mal epilepsies	CUI=C0014553	PREF=Absence epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
petit mal epilepsy	CUI=C0014553	PREF=Absence epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
petit mal epilepsy	CUI=C0014553	PREF=Absence epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
petit-mal seizure	CUI=C0014553	PREF=Absence epilepsy	TUI=T047	STY=Disease or Syndrome	
seizure disorder, absence	CUI=C0014553	PREF=Absence epilepsy	TUI=T047	STY=Disease or Syndrome	
seizure disorders, absence	CUI=C0014553	PREF=Absence epilepsy	TUI=T047	STY=Disease or Syndrome	
typical absence seizure	CUI=C0014553	PREF=Absence epilepsy	TUI=T047	STY=Disease or Syndrome	
typical absence seizures 	CUI=C0014553	PREF=Absence epilepsy	TUI=T047	STY=Disease or Syndrome	
typical absences	CUI=C0014553	PREF=Absence epilepsy	TUI=T047	STY=Disease or Syndrome	
focal epilepsy - temporal	CUI=C0014556	PREF=Epilepsy, Temporal Lobe	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
temporal lobe epilepsy	CUI=C0014556	PREF=Epilepsy, Temporal Lobe	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
temporal lobe seizure	CUI=C0014556	PREF=Epilepsy, Temporal Lobe	TUI=T047	STY=Disease or Syndrome	
temporal lobe seizures	CUI=C0014556	PREF=Epilepsy, Temporal Lobe	TUI=T047	STY=Disease or Syndrome	
disorder, post-traumatic seizure	CUI=C0014557	PREF=Epilepsy, Post-Traumatic	TUI=T037	STY=Injury or Poisoning	
disorders, post-traumatic seizure	CUI=C0014557	PREF=Epilepsy, Post-Traumatic	TUI=T037	STY=Injury or Poisoning	
epilepsy, post-traumatic	CUI=C0014557	PREF=Epilepsy, Post-Traumatic	TUI=T037	STY=Injury or Poisoning	Epilepsy=Yes
epilepsy, traumatic	CUI=C0014557	PREF=Epilepsy, Post-Traumatic	TUI=T037	STY=Injury or Poisoning	Epilepsy=Yes
post traumatic epilepsy	CUI=C0014557	PREF=Epilepsy, Post-Traumatic	TUI=T037	STY=Injury or Poisoning	Epilepsy=Yes
post traumatic epilepsytraumatic	CUI=C0014557	PREF=Epilepsy, Post-Traumatic	TUI=T037	STY=Injury or Poisoning	Epilepsy=Yes
post traumatic seizure dis	CUI=C0014557	PREF=Epilepsy, Post-Traumatic	TUI=T037	STY=Injury or Poisoning	
post traumatic seizure disorder	CUI=C0014557	PREF=Epilepsy, Post-Traumatic	TUI=T037	STY=Injury or Poisoning	
post-traumatic epilepsies	CUI=C0014557	PREF=Epilepsy, Post-Traumatic	TUI=T037	STY=Injury or Poisoning	Epilepsy=Yes
post-traumatic epilepsy (disorder)	CUI=C0014557	PREF=Epilepsy, Post-Traumatic	TUI=T037	STY=Injury or Poisoning	Epilepsy=Yes
post-traumatic seizure disorder	CUI=C0014557	PREF=Epilepsy, Post-Traumatic	TUI=T037	STY=Injury or Poisoning	
post-traumatic seizure disorders	CUI=C0014557	PREF=Epilepsy, Post-Traumatic	TUI=T037	STY=Injury or Poisoning	
seizure disorders, post-traumatic	CUI=C0014557	PREF=Epilepsy, Post-Traumatic	TUI=T037	STY=Injury or Poisoning	
traumatic epilepsies	CUI=C0014557	PREF=Epilepsy, Post-Traumatic	TUI=T037	STY=Injury or Poisoning	Epilepsy=Yes
traumatic epilepsies	CUI=C0014557	PREF=Epilepsy, Post-Traumatic	TUI=T037	STY=Injury or Poisoning	Epilepsy=Yes
traumatic epilepsy (disorder)	CUI=C0014557	PREF=Epilepsy, Post-Traumatic	TUI=T037	STY=Injury or Poisoning	Epilepsy=Yes
focal motor	CUI=C0016399	PREF=Epilepsy, Partial, Motor	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
focal motor epilepsy	CUI=C0016399	PREF=Epilepsy, Partial, Motor	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
focal motor epilepsy	CUI=C0016399	PREF=Epilepsy, Partial, Motor	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
focal motor epilepsy	CUI=C0016399	PREF=Epilepsy, Partial, Motor	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
focal motor seizure	CUI=C0016399	PREF=Epilepsy, Partial, Motor	TUI=T047	STY=Disease or Syndrome	
focal motor seizure	CUI=C0016399	PREF=Epilepsy, Partial, Motor	TUI=T047	STY=Disease or Syndrome	
motor partial seizure disorder	CUI=C0016399	PREF=Epilepsy, Partial, Motor	TUI=T047	STY=Disease or Syndrome	
motor seizure disorder	CUI=C0016399	PREF=Epilepsy, Partial, Motor	TUI=T047	STY=Disease or Syndrome	
motor seizure disorders	CUI=C0016399	PREF=Epilepsy, Partial, Motor	TUI=T047	STY=Disease or Syndrome	
partial motor attacks	CUI=C0016399	PREF=Epilepsy, Partial, Motor	TUI=T047	STY=Disease or Syndrome	
partial motor epilepsy	CUI=C0016399	PREF=Epilepsy, Partial, Motor	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
partial motor epilepsy	CUI=C0016399	PREF=Epilepsy, Partial, Motor	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
partial seizure disorder, motor	CUI=C0016399	PREF=Epilepsy, Partial, Motor	TUI=T047	STY=Disease or Syndrome	
simple partial seizure with motor dysfunction	CUI=C0016399	PREF=Epilepsy, Partial, Motor	TUI=T047	STY=Disease or Syndrome	
simple partial seizure with motor dysfunction (disorder)	CUI=C0016399	PREF=Epilepsy, Partial, Motor	TUI=T047	STY=Disease or Syndrome	
simple partial seizures with motor signs	CUI=C0016399	PREF=Epilepsy, Partial, Motor	TUI=T047	STY=Disease or Syndrome	
frontal lobe	CUI=C0016733	PREF=Frontal Lobes	TUI=T023	STY=Body Part, Organ, or Organ Component	
intention myoclonus (finding)	CUI=C0021712	PREF=Myoclonus, Intention	TUI=T184	STY=sign or symptom	
myoclonus, intention	CUI=C0021712	PREF=Myoclonus, Intention	TUI=T184	STY=sign or symptom	
Jacksonian seizure	CUI=C0022333	PREF=Jacksonian seizure	TUI=T047	STY=Disease or Syndrome	
disorder characterised by myoclonus	CUI=C0027066	PREF=Myoclonus	TUI=T184	STY=sign or symptom	
disorder characterized by myoclonus	CUI=C0027066	PREF=Myoclonus	TUI=T184	STY=sign or symptom	
jerk, myoclonic	CUI=C0027066	PREF=Myoclonus	TUI=T184	STY=sign or symptom	
jerking, myoclonic	CUI=C0027066	PREF=Myoclonus	TUI=T184	STY=sign or symptom	
jerks - myoclonic	CUI=C0027066	PREF=Myoclonus	TUI=T184	STY=sign or symptom	
jerks, myoclonic	CUI=C0027066	PREF=Myoclonus	TUI=T184	STY=sign or symptom	
myoclonic disorder	CUI=C0027066	PREF=Myoclonus	TUI=T184	STY=sign or symptom	
myoclonic disorder (disorder)	CUI=C0027066	PREF=Myoclonus	TUI=T184	STY=sign or symptom	
myoclonic jerk	CUI=C0027066	PREF=Myoclonus	TUI=T184	STY=sign or symptom	
myoclonic jerking	CUI=C0027066	PREF=Myoclonus	TUI=T184	STY=sign or symptom	
myoclonus (finding)	CUI=C0027066	PREF=Myoclonus	TUI=T184	STY=sign or symptom	
myoclonus disorder	CUI=C0027066	PREF=Myoclonus	TUI=T184	STY=sign or symptom	
myoclonus nos	CUI=C0027066	PREF=Myoclonus	TUI=T184	STY=sign or symptom	
myoclonus nos (disorder)	CUI=C0027066	PREF=Myoclonus	TUI=T184	STY=sign or symptom	
Occipital Lobes	CUI=C0028785	PREF=Occipital Lobes	TUI=T023	STY=Body Part, Organ, or Organ Component	
myoclonus, palatal	CUI=C0030214	PREF=Myoclonus, Palatal	TUI=T184	STY=sign or symptom	
palatal myoclonus (disorder)	CUI=C0030214	PREF=Myoclonus, Palatal	TUI=T184	STY=sign or symptom	
palatal nystagmus	CUI=C0030214	PREF=Myoclonus, Palatal	TUI=T184	STY=sign or symptom	
paramyoclonus multiplex	CUI=C0030463	PREF=paramyoclonus multiplex	TUI=T047	STY=Disease or Syndrome	
paramyoclonus multiplex (disorder)	CUI=C0030463	PREF=paramyoclonus multiplex (disorder)	TUI=T047	STY=Disease or Syndrome	
Parietal Lobes	CUI=C0030560	PREF=Parietal Lobes	TUI=T023	STY=Body Part, Organ, or Organ Component	Epilepsy=Yes
Cerebroatrophic hyperammonaemia	CUI=C0035372	PREF=Rett Syndrome	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
Cerebroatrophic hyperammonemia	CUI=C0035372	PREF=Rett Syndrome	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
rett syndrome	CUI=C0035372	PREF=Rett Syndrome	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
seizure	CUI=C0036572	PREF=seizure	TUI=T184	STY=Sign or Symptom	
seizures	CUI=C0036572	PREF=seizures	TUI=T184	STY=Sign or Symptom	
hypsarrhythmia	CUI=C0037769	PREF=West Syndrome	TUI=T047	STY=Disease or Syndrome	
infant spasms - hypsarrythmia	CUI=C0037769	PREF=West Syndrome	TUI=T047	STY=Disease or Syndrome	
infantile spasm	CUI=C0037769	PREF=West Syndrome	TUI=T047	STY=Disease or Syndrome	
infantile spasms - hypsarrhythmia	CUI=C0037769	PREF=West Syndrome	TUI=T047	STY=Disease or Syndrome	
infantile spasms - hypsarrythmia	CUI=C0037769	PREF=West Syndrome	TUI=T047	STY=Disease or Syndrome	
lightning attack	CUI=C0037769	PREF=West Syndrome	TUI=T047	STY=Disease or Syndrome	
lightning attacks	CUI=C0037769	PREF=West Syndrome	TUI=T047	STY=Disease or Syndrome	
lightning spasms	CUI=C0037769	PREF=West Syndrome	TUI=T047	STY=Disease or Syndrome	
spasms, infantile	CUI=C0037769	PREF=West Syndrome	TUI=T047	STY=Disease or Syndrome	
syndrome, west	CUI=C0037769	PREF=West Syndrome	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
west syndrome	CUI=C0037769	PREF=West Syndrome	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
West syndrome (disorder)	CUI=C0037769	PREF=West Syndrome	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
West's syndrome	CUI=C0037769	PREF=West Syndrome	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
generalized status epilepticus	CUI=C0038220	PREF=Status Epilepticus	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
status epilepticus 	CUI=C0038220	PREF=Status Epilepticus	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
status epilepticus, generalized	CUI=C0038220	PREF=Status Epilepticus	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
status epilepticus, unspecified	CUI=C0038220	PREF=Status Epilepticus	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
sturge-weber syndrome	CUI=C0038505	PREF=sturge-weber syndrome	TUI=T019	STY=Congenital Abnormality	Epilepsy=Yes
Temporal Lobes	CUI=C0039485	PREF=Temporal Lobes	TUI=T023	STY=Body Part, Organ, or Organ Component	
complex partial epilepsy	CUI=C0085417	PREF=Epilepsy, Complex Partial	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
complex partial epileptic seizure	CUI=C0085417	PREF=Epilepsy, Complex Partial	TUI=T047	STY=Disease or Syndrome	
complex partial seizure disorder	CUI=C0085417	PREF=Epilepsy, Complex Partial	TUI=T047	STY=Disease or Syndrome	
disorder, complex partial seizures	CUI=C0085417	PREF=Epilepsy, Complex Partial	TUI=T047	STY=Disease or Syndrome	
epilepsy, complex partial	CUI=C0085417	PREF=Epilepsy, Complex Partial	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
partial epilepsy, complex	CUI=C0085417	PREF=Epilepsy, Complex Partial	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
psychomotor epilepsy (disorder)	CUI=C0085417	PREF=Epilepsy, Complex Partial	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
seizure disorder, complex partial	CUI=C0085417	PREF=Epilepsy, Complex Partial	TUI=T047	STY=Disease or Syndrome	
Epilepsy, Frontal Lobe	CUI=C0085541	PREF=Epilepsy, Frontal Lobe	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
Frontal Lobe Epilepsies	CUI=C0085541	PREF=Epilepsy, Frontal Lobe	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
